day,open,high,low,close,volume
2024-06-03 14:40:00,10.94,10.95,10.94,10.94,287700
2024-06-03 14:41:00,10.94,10.97,10.94,10.96,1603200
2024-06-03 14:42:00,10.95,10.96,10.95,10.96,281900
2024-06-03 14:43:00,10.95,10.96,10.95,10.96,332900
2024-06-03 14:44:00,10.95,10.96,10.95,10.95,303700
2024-06-03 14:45:00,10.96,10.97,10.95,10.96,677700
2024-06-03 14:46:00,10.96,10.97,10.95,10.97,192700
2024-06-03 14:47:00,10.96,10.97,10.95,10.96,361200
2024-06-03 14:48:00,10.96,10.97,10.95,10.96,196700
2024-06-03 14:49:00,10.96,10.97,10.96,10.96,630500
2024-06-03 14:50:00,10.96,10.97,10.96,10.97,415486
2024-06-03 14:51:00,10.96,10.97,10.96,10.97,254300
2024-06-03 14:52:00,10.97,10.97,10.96,10.97,344100
2024-06-03 14:53:00,10.96,10.97,10.96,10.97,418000
2024-06-03 14:54:00,10.97,10.97,10.96,10.97,388200
2024-06-03 14:55:00,10.97,10.97,10.96,10.97,451300
2024-06-03 14:56:00,10.97,10.97,10.96,10.96,393900
2024-06-03 14:57:00,10.97,10.98,10.96,10.98,873400
2024-06-03 15:00:00,10.98,10.98,10.98,10.98,1390000
2024-06-04 09:31:00,10.95,10.99,10.93,10.96,3021900
2024-06-04 09:32:00,10.96,10.97,10.93,10.94,571700
2024-06-04 09:33:00,10.94,10.95,10.93,10.93,366500
2024-06-04 09:34:00,10.94,10.95,10.93,10.94,630800
2024-06-04 09:35:00,10.93,10.94,10.93,10.93,665300
2024-06-04 09:36:00,10.93,10.93,10.91,10.93,1807400
2024-06-04 09:37:00,10.92,10.93,10.92,10.93,740400
2024-06-04 09:38:00,10.93,10.94,10.92,10.92,798900
2024-06-04 09:39:00,10.93,10.93,10.92,10.93,593600
2024-06-04 09:40:00,10.93,10.96,10.92,10.95,669300
2024-06-04 09:41:00,10.94,10.95,10.94,10.94,459600
2024-06-04 09:42:00,10.94,10.96,10.94,10.94,415600
2024-06-04 09:43:00,10.94,10.96,10.94,10.96,489239
2024-06-04 09:44:00,10.96,10.97,10.95,10.96,716900
2024-06-04 09:45:00,10.96,10.97,10.96,10.97,505684
2024-06-04 09:46:00,10.97,10.98,10.96,10.98,1387900
2024-06-04 09:47:00,10.98,10.98,10.95,10.96,868041
2024-06-04 09:48:00,10.96,10.97,10.95,10.96,426300
2024-06-04 09:49:00,10.96,10.97,10.95,10.97,432700
2024-06-04 09:50:00,10.96,10.98,10.96,10.98,596100
2024-06-04 09:51:00,10.98,10.99,10.98,10.99,1064120
2024-06-04 09:52:00,10.99,11.0,10.96,10.98,1282700
2024-06-04 09:53:00,10.97,10.99,10.97,10.98,529300
2024-06-04 09:54:00,10.98,10.99,10.98,10.99,651200
2024-06-04 09:55:00,10.99,11.0,10.98,10.99,845000
2024-06-04 09:56:00,11.0,11.02,10.99,11.0,1564000
2024-06-04 09:57:00,11.0,11.0,10.99,10.99,288100
2024-06-04 09:58:00,10.99,11.0,10.99,11.0,616400
2024-06-04 09:59:00,11.0,11.01,10.99,11.01,361400
2024-06-04 10:00:00,11.0,11.01,10.99,11.0,369300
2024-06-04 10:01:00,10.99,11.0,10.99,11.0,708800
2024-06-04 10:02:00,11.0,11.02,11.0,11.02,1216949
2024-06-04 10:03:00,11.02,11.03,11.01,11.03,623600
2024-06-04 10:04:00,11.03,11.03,11.0,11.01,989300
2024-06-04 10:05:00,11.01,11.03,11.01,11.02,535200
2024-06-04 10:06:00,11.02,11.04,11.02,11.03,1104700
2024-06-04 10:07:00,11.03,11.03,11.02,11.03,359500
2024-06-04 10:08:00,11.02,11.04,11.02,11.04,666500
2024-06-04 10:09:00,11.03,11.05,11.03,11.04,1810669
